,id,query,median_relevance,relevance_variance,product
0,1,bridal shower decoration,1,0.0,accent pillow heart design red black red satin accent pillow embroider heart black thread 8 x 8
1,2,lead christmas light,4,0.0,"set 10 battery operate multi led train christmas lights clear wire set 10 battery operate train christmas lights item x124210 feature color multi color bulb match train light cover clear wire multi color consist red green blue yellow bulb number bulb string 10 bulb size micro lead spacing bulb 6 inch light length 4.5 foot total length 5.5 foot 12 inch lead cord additional product feature led light use 90 energy cool touch bulb burn rest stay light light equip lamp lock feature make replaceable interchangeable keep fall require 3 aa battery include convenient timer switch locate battery pack timer function battery pack allow 6 hour 18 hour connect multiple set ul list indoor use train dimension 1.5""h x 1.8""w x .5""d material(s plastic wire acrylic"
2,4,projector,4,0.471,['']
3,5,wine rack,4,0.0,concept housewares wr-44526 solid wood ceiling wall mount wine rack charcoal grey 6 bottle like silent sturdy tree southern enterprises bird branch coat rack eye catch addition home décor tree theme coat rack feature strong branch pinecone accent small bird perch whimsical welcoming appearance make sturdy hold coat hat umbrella serve coat rack hat rack combination great space saver gets appreciate graceful appearance number hooks 10 frame material metal hardware material metal dimensions 69.5 h x 13.25 w x 13.25 d weight 12.0 lb assembly details assembly require
4,7,light bulb,2,0.471,"wintergreen lighting christmas lead light bulb pack 25 wtgr1011 feature nickel base 60,000 average hour acrylic resin bulb material christmas light bulb steady dimmable replacement lamp nickel basis prevent corrosion socket wattage 0.96 watts voltage 130 volt dimmable yes light source led bulb shape type candle color amber bulb color amber"
5,8,oakley polarize radar,3,1.166,oakley sunglasses radar path polished black gray sunglasses durability day comfort lightweight stress resistant o matter ® frame material integrated surge port channel cool airflow optimize peripheral view coverage polaric ellipsoid ™ lens geometry come standard oakley hydrophobic oleophobic anti smudge lens coat comfort performance point fit hold lense precise optical alignment metal icon accent optical precision performance meet ansi z87.1 standard impact resistance meet ansi z87.1 standard high mass high velocity impact uv protection plutonite ® lens filter 100 uva uvb uvc harmful blue light 400 nm glare reduction tune light transmission iridium ® lens coat multiple interchangeable unobtainium ® nose pad option customizable comfortable secure fit protective sport specific oakley soft vault include capacity extra lens polished black frame gray lens
6,10,boyfriend jean,1,0.0,american quilt dvd item 2518897 director jocelyn moorhouse film adaptation novel whitney otto star winona ryder finn dodd berkeley graduate student summer hiatus grandmother home work thesis ponder marriage proposal boyfriend sam dermot mulroney finn grandma hy ellen burstyn live great aunt glady jo anne bancroft idyllic northern california home fiery woman meet seven old female relative close friend regular quilting bee lead anna maya angelou course summer finn contemplate future gain insight love relationship different member quilting bee experience bring life woman share unique tale confused young woman interwoven memory sage member quilting bee include constance kate nelligan anna daughter mariana alfre woodard finn free spirited mother sally kate capshaw)--become lesson love pain emotional growth finn woman work wedding quilt memory vivid flashback subtly weave past present create colorful collection story feature young star include claire danes samantha mathis individual woman youth tribute woman friendship camaraderie american quilt shine cast star actress
7,13,screen protector samsung,4,0.0,zagg invisibleshield cell phone screen protector samsung galaxy s4 mini protect precious technology zagg invisibleshield cell phone screen protector samsung galaxy s4 mini strong durable slim invisible scratch resistant screen protector need design nano memory technology allow small scratch self heal samsung galaxy s4 mini screen protector resistant impact water tear puncture plus bubble free application easy achieve shield gets damage start wear problem get warranty lifetime device
8,17,pot pan set,2,0.632,cook n home stainless steel 4 piece pasta cooker/ steamer multi pot encapsulated 8 quart ultimate pasta vegetable steamer cooking set include piece 8 quart stock pot temper glass lid steamer insert pasta insert mirror polished stainless steel stock pot feature encapsulate aluminum core layer provide heat distribution
9,20,waffle maker,4,0.471,presto flipside electric waffle maker- 03510 waffle lover family electric waffle maker presto stainless steel construction provide heat distribution unique flip design ensure crisp fluffy waffle unique 180 ° flip design evenly spread batter waffle crispy outside fluffy tender inside
